home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,exchange_rate_src_to_dest,location_mismatch,kyc_tier,account_age_days,device_trust_score,risk_score_internal,txn_velocity_24h,corridor_risk,day_of_week,year,is_fraud
US,USD,CAD,web,9991.85,9991.85,151.39,1.351351,FALSE,enhanced,257,0.894,0.257,0,0,Wednesday,2022,0
US,USD,GBP,mobile,309.39,309.39,5.54,0.8,FALSE,standard,1016,0.944,0.247,0,0,Wednesday,2022,0
US,USD,MXN,web,260.49,260.49,4.85,17.241379,FALSE,enhanced,367,0.939,0.176,0,0.2,Wednesday,2022,0
US,USD,GBP,mobile,87.5,87.5,2.31,0.8,FALSE,standard,1018,0.784,0.087,0,0,Wednesday,2022,0
US,USD,NGN,mobile,254.76,254.76,4.75,1111.111111,TRUE,standard,298,0.336,0.166,0,0.25,Thursday,2022,0
US,USD,CAD,mobile,326.05,326.05,5.85,1.351351,FALSE,standard,263,0.522,0.223,0,0,Thursday,2022,0
CA,CAD,NGN,ATM,293.42,217.13,5.81,822.222222,FALSE,standard,853,0.68,0.29,0,0,Thursday,2022,0
US,USD,NGN,web,208.25,208.25,4.3,1111.111111,TRUE,enhanced,367,0.939,0.176,0,0.25,Thursday,2022,0
US,USD,NGN,web,121.71,121.71,3.06,1111.111111,FALSE,standard,298,0.186,0.166,0,0.25,Thursday,2022,0
US,USD,GBP,mobile,39.5,39.5,1.3,0.8,FALSE,standard,1018,0.934,0.087,0,0,Thursday,2022,0
US,USD,USD,mobile,121.06,121.06,3.04,1,FALSE,standard,147,0.551,0.391,0,0,Thursday,2022,0
US,USD,CAD,mobile,204.53,204.53,4.61,1.351351,FALSE,standard,263,0.522,0.223,0,0,Thursday,2022,0
CA,CAD,CNY,web,76.26,56.43,3.89,5.285714,FALSE,standard,1041,0.867,0.245,0,0,Thursday,2022,0
CA,CAD,MXN,mobile,149.15,110.37,3.63,12.758621,FALSE,standard,366,0.662,0.225,0,0,Thursday,2022,0
US,USD,GBP,web,46.16,46.16,1,0.8,FALSE,standard,1018,0.934,0.087,0,0,Thursday,2022,0
US,USD,NGN,mobile,97.81,97.81,3.11,1111.111111,FALSE,standard,147,0.551,0.391,0,0.25,Thursday,2022,0
US,USD,CAD,mobile,150.59,150.59,3.38,1.351351,TRUE,standard,1016,0.944,0.247,0,0,Friday,2022,0
US,USD,USD,mobile,232.66,232.66,4.31,1,FALSE,standard,263,0.522,0.223,0,0,Friday,2022,0
US,USD,GBP,ATM,91.61,91.61,1.63,0.8,FALSE,standard,263,0.522,0.223,0,0,Friday,2022,0
US,USD,USD,mobile,61.27,61.27,1.79,1,FALSE,enhanced,367,0.939,0.176,0,0,Friday,2022,0
CA,CAD,CNY,web,146.2,108.19,2.67,5.285714,FALSE,standard,172,0.881,0.199,0,0,Friday,2022,0
UK,GBP,GBP,mobile,291.49,364.36,4.34,1,FALSE,standard,4,0.892,0.407,0,0,Friday,2022,0
US,USD,EUR,mobile,307.68,307.68,5.25,0.925926,FALSE,standard,263,0.522,0.223,0,0,Friday,2022,0
UK,GBP,PHP,web,93.99,117.49,2.15,73.529412,FALSE,standard,4,0.892,0.407,0,0,Friday,2022,0
UK,GBP,EUR,mobile,126.01,157.51,3.4,1.157407,FALSE,standard,4,0.892,0.407,0,0.05,Saturday,2022,0
US,USD,PHP,mobile,165.91,165.91,3.46,58.823529,FALSE,enhanced,367,0.939,0.176,0,0.1,-1,0,0
CA,CAD,GBP,ATM,115.49,85.46,3.2,0.592,FALSE,standard,853,0.83,0.29,0,0,Saturday,2022,0
 UK  ,GBP,USD,WEB,46.51,58.14,1.72,1.25,FALSE,standard,4,0.892,0.407,1,0,Saturday,2022,0
US,USD,EUR,mobile,179.75,179.75,3.7,0.925926,FALSE,standard,1016,0.944,0.247,0,0,Saturday,2022,0
US,USD,USD,web,254.28,254.28,4.22,1,FALSE,standard,1018,0.784,0.087,0,0,Saturday,2022,0
US,USD,USD,mobile,102.54,102.54,2.65,1,TRUE,enhanced,367,0.939,0.176,0,0,Saturday,2022,0
UK,GBP,EUR,web,146.41,183.02,3.23,1.157407,TRUE,standard,4,0.892,0.407,0,0.05,Saturday,2022,1
US,USD,CNY,mobile,400.46,400.46,6.69,7.142857,FALSE,standard,147,0.551,0.391,1,0,Saturday,2022,0
US,USD,PHP,mobile,240.72,240.72,4.18,58.823529,FALSE,standard,147,0.551,0.391,0,0.1,Saturday,2022,0
US,USD,INR,mobile,255.06,410.97,110.92,83.333333,FALSE,unknown,263,0.68,0.223,0,0,Saturday,2022,0
UK,GBP,CAD,web,93.5,116.87,3.36,1.689189,FALSE,standard,4,0.892,0.407,0,0,Saturday,2022,0
US,USD,EUR,web,67.19,67.19,-1,0.925926,TRUE,standard,263,-0.1,0.223,0,0,Sunday,2022,0
US,USD,EUR,mobile,1071.92,1071.92,17.53,0.925926,FALSE,standard,298,0.336,0.166,0,0,Sunday,2022,0
CA,CAD,CNY,web,9997.3,7398,151.89,5.285714,FALSE,enhanced,63,0.853,0.13,0,0,Sunday,2022,0
CA,CAD,USD,web,314.46,232.7,5.88,0.74,FALSE,standard,947,0.625,0.268,0,0,Sunday,2022,0
UK,GBP,GBP,mobile,925.39,1156.74,14.22,1,FALSE,standard,4,0.892,0.407,0,0,Sunday,2022,0
CA,CAD,PHP,web,115.25,85.28,3,43.529412,FALSE,low,615,0.515,0.355,0,0,Sunday,2022,0
US,USD,GBP,mobile,152.75,152.75,3.35,0.8,FALSE,standard,263,0.522,0.223,5,0,Sunday,2022,0
US,USD,USD,web,71.62,71.62,2.69,1,FALSE,standard,1016,0.944,0.247,0,0,Monday,2022,0
US,USD,NGN,mobile,509.65,509.65,9.13,1111.111111,FALSE,standard,147,0.551,0.391,0,0.25,Monday,2022,0
US,USD,USD,mobile,190.42,190.42,-1,1,FALSE,standard,298,-0.1,0.166,0,0,Monday,2022,0
UK,GBP,CAD,ATM,111.18,138.97,2.66,1.689189,FALSE,standard,4,0.742,0.407,0,0,Monday,2022,0
UK,GBP,MXN,mobile,499.76,624.7,7.42,21.551724,FALSE,standard,4,0.892,0.407,7,0,Tuesday,2022,0
US,USD,CAD,web,442.22,442.22,7.36,1.351351,FALSE,standard,830,0.799,0.102,0,0,Tuesday,2022,0
US,USD,EUR,web,158.26,158.26,2.85,0.925926,FALSE,standard,263,0.522,0.223,0,0,Tuesday,2022,0
UK,GBP,EUR,mobile,168.22,210.28,3.54,1.157407,FALSE,standard,4,0.742,0.407,0,0.05,Tuesday,2022,0
US,USD,CNY,mobile,147.9,147.9,2.07,7.142857,FALSE,standard,263,0.522,0.223,0,0,Tuesday,2022,0
US,USD,GBP,mobile,42.13,42.13,2.02,0.8,FALSE,standard,1016,0.944,0.247,0,0,Tuesday,2022,0
US,USD,INR,mobile,144.6,144.6,3.6,83.333333,FALSE,standard,1018,0.934,0.087,0,0,Tuesday,2022,0
CA,CAD,CNY,mobile,300.19,222.14,5.1,5.285714,FALSE,low,615,0.515,0.355,0,0,Saturday,2023,0
US,USD,PHP,web,103.83,103.83,1.67,58.823529,FALSE,standard,298,0.336,0.166,0,0.1,Tuesday,2022,0
US,USD,CAD,mobile,117.63,117.63,3.7,1.351351,FALSE,standard,298,0.336,0.166,0,0,Tuesday,2022,0
CA,CAD,GBP,web,232.19,171.82,4.54,0.592,FALSE,standard,564,0.658,0.4,0,0,Tuesday,2022,0
US,USD,GBP,mobile,183.95,183.95,3.2,0.8,FALSE,enhanced,367,0.939,0.176,0,0,Tuesday,2022,0
US,USD,USD,ATM,125.6,125.6,3.24,1,FALSE,enhanced,257,0.894,0.257,0,0,Tuesday,2022,0
US,USD,PHP,mobile,147.99,147.99,3.82,58.823529,TRUE,enhanced,257,0.894,0.257,0,0.1,Tuesday,2022,0
UK,GBP,PHP,web,193.57,241.96,3.76,73.529412,FALSE,standard,4,0.742,0.407,0,0,Wednesday,2022,0
US,USD,CNY,web,57.84,57.84,2.75,7.142857,FALSE,enhanced,257,0.744,0.257,1,0,Wednesday,2022,0
US,USD,INR,web,130.13,130.13,-1,83.333333,FALSE,enhanced,257,-0.1,0.257,0,0,Wednesday,2022,0
US,USD,MXN,ATM,55.96,55.96,1.7,17.241379,FALSE,standard,830,0.799,0.102,0,0.2,Wednesday,2022,0
CA,CAD,GBP,web,72.1,53.35,1.14,0.592,FALSE,low,615,0.515,0.355,0,0,Wednesday,2022,0
US,USD,CNY,mobile,121.49,121.49,2.31,7.142857,FALSE,standard,147,0.551,0.391,0,0,Wednesday,2022,0
US,USD,PHP,web,238.54,238.54,5.12,58.823529,TRUE,low,616,0.702,0.361,0,0.1,Thursday,2022,0
US,USD,CNY,ATM,385.27,385.27,7.05,7.142857,FALSE,enhanced,367,0.939,0.176,0,0,Thursday,2022,0
US,USD,EUR,mobile,92.88,92.88,1.62,0.925926,FALSE,standard,298,0.336,0.166,0,0,Thursday,2022,0
US,USD,CAD,web,191.16,191.16,3.9,1.351351,FALSE,low,415,0.568,0.304,0,0,Thursday,2022,0
CA,CAD,INR,mobile,113.48,83.97,1.99,61.666667,FALSE,low,824,0.607,0.282,0,0.12,Friday,2022,0
US,USD,PHP,mobile,17.54,17.54,1.04,58.823529,FALSE,standard,263,0.522,0.223,0,0.1,Friday,2022,0
US,USD,PHP,mobile,9993.4,9993.4,150.43,58.823529,FALSE,standard,298,0.336,0.166,0,0.1,Friday,2022,0
UK,GBP,GBP,mobile,155.05,193.81,3.33,1,FALSE,standard,4,0.892,0.407,0,0,Friday,2022,0
US,USD,INR,mobile,1218.1,1218.1,19.59,83.333333,FALSE,low,616,0.702,0.361,0,0,Friday,2022,0
US,USD,PHP,web,90.3,90.3,2.01,58.823529,FALSE,enhanced,367,0.939,0.176,1,0.1,Friday,2022,0
CA,CAD,CNY,web,506.98,375.17,8.93,5.285714,FALSE,standard,272,0.792,0.048,0,0,Saturday,2022,1
US,USD,USD,mobile,246.2,246.2,3.7,1,FALSE,standard,263,0.522,0.223,0,0,Saturday,2022,0
US,USD,NGN,web,33.26,33.26,1.52,1111.111111,FALSE,standard,1016,0.944,0.247,0,0.25,Saturday,2022,0
US,USD,PHP,mobile,176.05,176.05,3.88,58.823529,FALSE,enhanced,367,0.939,0.176,0,0.1,Saturday,2022,0
US,USD,USD,web,43.66,43.66,1.68,1,FALSE,standard,263,0.522,0.223,0,0,Saturday,2022,0
US,USD,USD,web,208.98,208.98,5.02,1,FALSE,standard,298,0.336,0.166,0,0,Saturday,2022,0
US,USD,CAD,web,75.74,75.74,2.78,1.351351,FALSE,standard,263,0.372,0.223,0,0,Saturday,2022,0
US,USD,PHP,mobile,766.16,766.16,12.43,58.823529,TRUE,enhanced,257,0.744,0.257,0,0.1,Saturday,2022,0
UK,GBP,GBP,web,224.27,280.34,5.04,1,FALSE,low,454,0.71,0.238,3,0,Saturday,2022,0
US,USD,MXN,mobile,86.49,86.49,1.56,17.241379,FALSE,standard,298,0.336,0.166,0,0.2,Saturday,2022,0
US,USD,GBP,mobile,110.58,110.58,2.57,0.8,FALSE,standard,298,0.336,0.166,0,0,Saturday,2022,0
US,USD,EUR,web,22.9,22.9,1.21,0.925926,FALSE,standard,263,0.522,0.223,0,0,Sunday,2022,0
US,USD,PHP,mobile,260.98,260.98,5.08,58.823529,FALSE,standard,298,0.336,0.166,0,0.1,Sunday,2022,0
CA,CAD,NGN,mobile,224.97,166.48,4.64,822.222222,FALSE,standard,385,0.75,0.229,0,0,Sunday,2022,0
US,USD,CAD,mobile,137.33,137.33,3.38,1.351351,FALSE,enhanced,661,0.92,0.259,0,0,Sunday,2022,0
CA,CAD,INR,ATM,151.84,112.36,2.92,61.666667,FALSE,standard,725,0.824,0.212,0,0.12,Sunday,2022,0
CA,CAD,CAD,web,54.01,39.97,1.97,1,FALSE,low,615,0.515,0.355,0,0,Sunday,2022,0
US,USD,PHP,ATM,49.11,49.11,2.3,58.823529,FALSE,standard,1016,0.794,0.247,0,0.1,Sunday,2022,0
US,USD,MXN,web,106,106,2.98,17.241379,FALSE,standard,147,0.551,0.391,0,0.2,Sunday,2022,0
UK,GBP,CNY,ATM,44.2,55.25,1.28,8.928571,TRUE,standard,4,0.892,0.407,1,0,Monday,2022,0
US,USD,PHP,mobile,445.23,445.23,7.77,58.823529,FALSE,standard,298,0.336,0.166,0,0.1,Monday,2022,0
US,USD,EUR,mobile,182.78,182.78,3.95,0.925926,FALSE,enhanced,367,0.939,0.176,0,0,Monday,2022,0
UK,GBP,PHP,mobile,137.67,172.08,3.03,73.529412,FALSE,standard,4,0.892,0.407,0,0,Monday,2022,0
US,USD,INR,mobile,350.66,350.66,5.96,83.333333,FALSE,standard,147,0.551,0.391,0,0,Monday,2022,0
UK,GBP,PHP,mobile,1233.87,1542.34,19.43,73.529412,FALSE,standard,4,0.892,0.407,0,0,Monday,2022,0
US,USD,CAD,mobile,150.01,150.01,3.28,1.351351,FALSE,standard,263,0.522,0.223,0,0,Monday,2022,0
US,USD,CAD,mobile,180.94,180.94,4.13,1.351351,FALSE,standard,298,0.186,0.166,0,0,Monday,2022,0
US,USD,USD,mobile,60.84,60.84,1.63,1,FALSE,standard,298,0.336,0.166,0,0,Monday,2022,0
US,USD,CNY,mobile,293.31,293.31,4.71,7.142857,FALSE,enhanced,367,0.939,0.176,0,0,Monday,2022,0
US,USD,USD,web,155.98,155.98,2.53,1,FALSE,standard,298,0.336,0.166,0,0,Monday,2022,0
CA,CAD,NGN,mobile,227.02,168,5.53,822.222222,FALSE,standard,947,0.625,0.268,0,0,Monday,2022,0
US,USD,GBP,mobile,188.31,188.31,3.59,0.8,FALSE,enhanced,367,0.939,0.176,0,0,Monday,2022,0
US,USD,CAD,mobile,735.01,735.01,11.92,1.351351,FALSE,standard,147,0.551,0.391,1,0,Tuesday,2022,0
US,USD,INR,mobile,49.44,49.44,1.05,83.333333,FALSE,standard,263,0.522,0.223,0,0,Tuesday,2022,0
UK,GBP,CAD,mobile,70.98,88.72,2.69,1.689189,FALSE,standard,4,0.892,0.407,0,0,Tuesday,2022,0
US,USD,PHP,web,82.83,82.83,2.46,58.823529,FALSE,standard,34,0.427,0.068,0,0.1,Tuesday,2022,0
UK,GBP,PHP,web,158.26,197.82,3.48,73.529412,FALSE,standard,718,0.953,0.169,2,0,Tuesday,2022,0
UK,GBP,INR,mobile,181.04,226.3,4.32,104.166667,FALSE,standard,4,0.892,0.407,1,0,Tuesday,2022,0
US,USD,GBP,ATM,100.06,100.06,2.84,0.8,FALSE,enhanced,257,0.894,0.257,0,0,Tuesday,2022,0
UK,GBP,INR,mobile,132.77,165.96,2.32,104.166667,FALSE,standard,4,0.892,0.407,0,0,Tuesday,2022,0
US,USD,PHP,web,164.91,164.91,2.36,58.823529,FALSE,standard,1018,0.934,0.087,2,0.1,Tuesday,2022,0
US,USD,INR,mobile,66.54,66.54,2.32,83.333333,FALSE,standard,298,0.336,0.166,0,0,Tuesday,2022,0
US,USD,PHP,web,269.05,269.05,5.72,58.823529,FALSE,standard,805,0.6,0.21,0,0.1,Wednesday,2022,0
US,USD,PHP,mobile,97.95,97.95,1.41,58.823529,TRUE,standard,147,0.401,0.391,0,0.1,Wednesday,2022,0
US,USD,GBP,ATM,38.97,38.97,2.1,0.8,FALSE,enhanced,257,0.894,0.257,0,0,Wednesday,2022,0
US,USD,CAD,mobile,418.73,418.73,7.3,1.351351,FALSE,enhanced,367,0.939,0.176,0,0,Wednesday,2022,0
US,USD,EUR,mobile,462.29,462.29,7.94,0.925926,TRUE,enhanced,367,0.939,0.176,0,0,Wednesday,2022,0
US,USD,MXN,ATM,452.7,452.7,7.82,17.241379,FALSE,standard,263,0.522,0.223,0,0.2,Wednesday,2022,0
CA,CAD,USD,mobile,430.55,318.61,7.92,0.74,FALSE,standard,947,0.475,0.268,0,0,Wednesday,2022,0
CA,CAD,PHP,web,116.17,85.97,3.74,43.529412,FALSE,standard,947,0.625,0.268,0,0,Wednesday,2022,0
UK,GBP,GBP,mobile,156.65,195.81,4.77,1,FALSE,standard,4,0.892,0.407,0,0,Thursday,2022,0
CA,CAD,USD,web,164.92,122.04,2.95,0.74,TRUE,standard,172,0.881,0.199,1,0,Thursday,2022,0
US,USD,NGN,mobile,123.12,123.12,1.92,1111.111111,TRUE,standard,859,0.96,0.363,0,0.25,Thursday,2022,0
US,USD,INR,mobile,229.34,229.34,4.53,83.333333,FALSE,enhanced,257,0.894,0.257,0,0,Thursday,2022,0
US,USD,USD,mobile,71.8,71.8,2.16,1,FALSE,enhanced,661,0.92,0.259,0,0,Thursday,2022,0
CA,CAD,PHP,mobile,9993.58,7395.25,150.5,43.529412,TRUE,standard,564,0.658,0.4,0,0,Thursday,2022,1
US,USD,INR,mobile,102.29,102.29,1.47,83.333333,FALSE,standard,147,0.401,0.391,0,0,Thursday,2022,0
US,USD,PHP,mobile,234.36,234.36,3.9,58.823529,FALSE,enhanced,257,0.894,0.257,0,0.1,Thursday,2022,0
US,USD,INR,mobile,431.4,431.4,7.89,83.333333,FALSE,standard,1018,0.934,0.087,0,0,Thursday,2022,0
US,USD,MXN,mobile,502.97,410.97,110.92,17.241379,FALSE,unknown,1018,0.68,0.087,0,0.2,Thursday,2022,0
US,USD,PHP,web,111.4,111.4,4,58.823529,FALSE,standard,1016,0.944,0.247,0,0.1,Friday,2022,0
US,USD,GBP,mobile,59.24,59.24,1.85,0.8,TRUE,enhanced,257,0.894,0.257,0,0,Friday,2022,0
CA,CAD,CNY,mobile,187.32,138.62,3.14,5.285714,FALSE,low,615,0.515,0.355,0,0,Friday,2022,0
US,USD,INR,mobile,156.01,156.01,2.81,83.333333,TRUE,standard,298,0.336,0.166,0,0,Friday,2022,0
US,USD,GBP,web,65.62,65.62,1.96,0.8,FALSE,enhanced,367,0.939,0.176,0,0,Friday,2022,0
US,USD,EUR,web,416.89,416.89,6.7,0.925926,FALSE,standard,263,0.522,0.223,0,0,Friday,2022,0
US,USD,PHP,mobile,248.92,248.92,5.56,58.823529,FALSE,enhanced,367,0.939,0.176,0,0.1,-1,0,0
US,USD,PHP,mobile,144.04,144.04,2.17,58.823529,FALSE,standard,263,0.522,0.223,0,0.1,Friday,2022,0
US,USD,CNY,web,75.44,75.44,1.31,7.142857,FALSE,standard,298,0.336,0.166,0,0,-1,0,0
US,USD,CAD,mobile,141.72,141.72,2.93,1.351351,FALSE,standard,263,0.522,0.223,0,0,Saturday,2022,0
US,USD,INR,web,217.23,217.23,4.43,83.333333,FALSE,standard,263,0.522,0.223,0,0,Saturday,2022,0
CA,CAD,USD,web,100.87,410.97,110.92,0.74,FALSE,unknown,947,0.68,0.268,7,0,Saturday,2022,0
UK,GBP,CNY,web,81.35,101.69,2.34,8.928571,FALSE,standard,718,0.953,0.169,0,0,Saturday,2022,0
US,USD,PHP,mobile,165.91,165.91,4.44,58.823529,FALSE,enhanced,367,0.939,0.176,0,0.1,Saturday,2022,0
US,USD,EUR,web,288.18,288.18,5.71,0.925926,FALSE,standard,147,0.551,0.391,0,0,Saturday,2022,0
US,USD,CNY,mobile,76.27,76.27,3.33,7.142857,FALSE,enhanced,367,0.939,0.176,0,0,Saturday,2022,0
US,USD,MXN,mobile,265.3,410.97,110.92,17.241379,TRUE,unknown,367,0.68,0.176,0,0.2,Saturday,2022,0
US,USD,CNY,web,562.16,562.16,9.11,7.142857,FALSE,standard,263,0.522,0.223,0,0,Saturday,2022,0
US,USD,EUR,web,73,73,2.28,0.925926,TRUE,standard,298,0.336,0.166,0,0,Saturday,2022,0
US,USD,CAD,mobile,48.36,48.36,0.85,1.351351,FALSE,enhanced,367,0.939,0.176,0,0,Saturday,2022,0
US,USD,CAD,mobile,311.32,311.32,5.04,1.351351,FALSE,standard,830,0.799,0.102,0,0,Saturday,2022,0
US,USD,NGN,web,162.56,162.56,2.71,1111.111111,FALSE,standard,1018,0.934,0.087,0,0.25,Sunday,2022,0
US,USD,GBP,mobile,180.63,180.63,3.68,0.8,FALSE,standard,298,0.336,0.166,0,0,Sunday,2022,0
US,USD,PHP,mobile,74.47,74.47,2.41,58.823529,FALSE,standard,147,0.551,0.391,0,0.1,Sunday,2022,0
US,USD,NGN,mobile,381.62,381.62,6.86,1111.111111,FALSE,standard,147,0.551,0.391,1,0.25,Sunday,2022,0
US,USD,MXN,mobile,55.72,55.72,1.57,17.241379,FALSE,standard,263,0.522,0.223,0,0.2,Sunday,2022,0
US,USD,MXN,web,86.6,86.6,1.96,17.241379,FALSE,standard,298,0.336,0.166,0,0.2,Sunday,2022,0
US,USD,PHP,mobile,47.25,47.25,2.25,58.823529,FALSE,standard,147,0.551,0.391,0,0.1,Sunday,2022,0
US,USD,CAD,web,9994.89,410.97,110.92,1.351351,FALSE,unknown,34,0.68,0.068,0,0,Sunday,2022,0
US,USD,NGN,web,135.29,135.29,3.62,1111.111111,FALSE,standard,1018,0.784,0.087,1,0.25,Sunday,2022,0
UK,GBP,CNY,web,217.1,271.37,4.44,8.928571,FALSE,standard,4,0.892,0.407,0,0,Sunday,2022,0
US,USD,CNY,mobile,236.64,236.64,4.24,7.142857,FALSE,enhanced,257,0.894,0.257,0,0,Monday,2022,0
US,USD,NGN,mobile,94.6,94.6,2.99,1111.111111,FALSE,standard,1018,0.934,0.087,0,0.25,Monday,2022,0
US,USD,PHP,web,106.95,106.95,2.56,58.823529,FALSE,enhanced,367,0.939,0.176,0,0.1,Monday,2022,0
US,USD,NGN,web,99.87,99.87,1.44,1111.111111,FALSE,standard,1018,0.934,0.087,0,0.25,Monday,2022,0
US,USD,CAD,ATM,174.19,174.19,2.88,1.351351,TRUE,standard,298,0.336,0.166,0,0,Monday,2022,0
UK,GBP,GBP,web,246.56,308.2,4.99,1,FALSE,standard,4,0.892,0.407,0,0,Monday,2022,0
UK,GBP,PHP,web,71.29,89.11,1.62,73.529412,FALSE,standard,4,0.892,0.407,0,0,Monday,2022,0
US,USD,CNY,ATM,126.78,126.78,2.85,7.142857,FALSE,standard,830,0.799,0.102,0,0,Monday,2022,0
US,USD,GBP,mobile,126.18,126.18,2.77,0.8,FALSE,enhanced,257,0.894,0.257,0,0,Monday,2022,0
US,USD,INR,mobile,76.91,76.91,1.58,83.333333,FALSE,standard,147,0.551,0.391,1,0,Monday,2022,0
UK,GBP,CNY,mobile,152.48,190.6,3.03,8.928571,FALSE,standard,4,0.892,0.407,0,0,Monday,2022,0
US,USD,EUR,mobile,222.04,222.04,4.5,0.925926,FALSE,standard,147,0.551,0.391,1,0,Monday,2022,0
US,USD,USD,mobile,521.57,521.57,8.69,1,FALSE,standard,1018,0.934,0.087,0,0,Monday,2022,0
US,USD,USD,web,9995.32,9995.32,150.43,1,FALSE,enhanced,367,0.939,0.176,0,0,Tuesday,2022,0
US,USD,USD,web,138.93,138.93,3.5,1,FALSE,standard,1018,0.934,0.087,0,0,Tuesday,2022,0
UK,GBP,INR,web,234.85,293.56,4.92,104.166667,FALSE,standard,4,0.892,0.407,0,0,Tuesday,2022,0
CA,CAD,CNY,mobile,255.18,410.97,110.92,5.285714,FALSE,unknown,615,0.68,0.355,0,0,Tuesday,2022,0
US,USD,USD,web,47.29,47.29,2.4,1,FALSE,standard,263,0.522,0.223,0,0,Tuesday,2022,0
UK,GBP,NGN,web,203.62,254.53,4.24,1388.888889,FALSE,standard,4,0.892,0.407,0,0.22,Tuesday,2022,0
US,USD,NGN,mobile,71.56,71.56,2.76,1111.111111,FALSE,standard,147,0.551,0.391,0,0.25,Tuesday,2022,0
US,USD,GBP,mobile,151.76,151.76,3.38,0.8,TRUE,standard,147,0.551,0.391,0,0,Tuesday,2022,0
UK,GBP,CNY,ATM,157.07,196.33,3.34,8.928571,FALSE,standard,4,0.892,0.407,0,0,Wednesday,2022,0
US,USD,CAD,mobile,219.13,219.13,4.51,1.351351,FALSE,standard,298,0.336,0.166,0,0,Wednesday,2022,0
UK,GBP,GBP,mobile,165.16,206.45,3.47,1,FALSE,standard,684,0.833,0.241,0,0,Wednesday,2022,0
US,USD,MXN,web,365.25,365.25,6.4,17.241379,FALSE,enhanced,257,0.894,0.257,0,0.2,Wednesday,2022,0
US,USD,USD,mobile,9995.31,9995.31,150.84,1,FALSE,standard,147,0.551,0.391,0,0,Wednesday,2022,0
US,USD,EUR,ATM,562.2,562.2,9.87,0.925926,FALSE,standard,298,0.336,0.166,0,0,Wednesday,2022,0
CA,CAD,USD,mobile,23.02,17.04,0.5,0.74,FALSE,low,824,0.607,0.282,0,0,-1,0,0
US,USD,EUR,web,196.52,196.52,3.73,0.925926,FALSE,enhanced,367,0.939,0.176,0,0,Thursday,2022,0
US,USD,CNY,mobile,187.11,187.11,4.09,7.142857,FALSE,standard,1018,0.934,0.087,0,0,Thursday,2022,0
US,USD,PHP,mobile,227.77,227.77,4.88,58.823529,FALSE,enhanced,367,0.939,0.176,1,0.1,Thursday,2022,0
US,USD,NGN,ATM,425.41,410.97,110.92,1111.111111,FALSE,unknown,298,0.68,0.166,0,0.25,Thursday,2022,0
US,USD,CNY,mobile,205.44,205.44,4.22,7.142857,TRUE,enhanced,257,0.894,0.257,0,0,Thursday,2022,0
US,USD,INR,ATM,466.88,466.88,7.31,83.333333,FALSE,enhanced,257,0.894,0.257,0,0,Thursday,2022,0
UK,GBP,EUR,web,255.83,319.79,3.96,1.157407,FALSE,standard,4,0.742,0.407,0,0.05,Thursday,2022,0
UK,GBP,CNY,mobile,247.95,309.94,4.35,8.928571,FALSE,standard,4,0.892,0.407,0,0,Friday,2022,0
US,USD,PHP,web,669.38,669.38,10.36,58.823529,FALSE,standard,263,0.522,0.223,0,0.1,Friday,2022,0
